"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"1",74.9,"Autauga","AL",48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,1041.5,21.8,7.5,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,6690,774,1727,2680,2394
"2",76.6,"Baldwin","AL",162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,856.9,15.4,6.7,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,20254,2533,4933,9354,7753
"3",74.5,"Barbour","AL",28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,1019.4,21.4,-1111.1,-1111.1,-1111.1,25.6,-1111.1,17.7,6.6,5126,3288,1092,45.8,24.6,6729,569,1302,1618,1403
"4",73.2,"Bibb","AL",21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,1050.5,19.4,-1111.1,-1111.1,86.6,-1111.1,-1111.1,-1111.1,13.1,3315,2390,974,41.8,18.6,5355,358,900,1218,1034
"5",76.1,"Blount","AL",55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,954.2,25.8,7.9,33.5,74.6,24.2,-1111.1,23.6,8.4,8131,5019,1300,16.2,10.8,11181,819,2217,3164,2675
"6",71.9,"Bullock","AL",11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,1107.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,2848,327,448,626,565
"7",73,"Butler","AL",20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,1084.2,21.6,6.9,24.5,-1111.1,22,-1111.1,27.3,9.5,4055,3150,952,43.3,19.3,4363,537,976,1164,1029
"8",73.1,"Calhoun","AL",112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,1100.3,26.7,8,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,19546,2182,5722,6400,5545
"9",73.8,"Chambers","AL",35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,1075.6,32.3,7.9,34.7,84.6,-1111.1,-1111.1,11.7,17.1,5533,5473,1497,53.6,22.6,8718,849,1470,2005,1647
"10",75.3,"Cherokee","AL",24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,999.3,-1111.1,8.8,-1111.1,-1111.1,-1111.1,-1111.1,23.6,13.3,3583,3086,854,28.5,12.2,6398,464,1154,1436,1140
"11",74.1,"Chilton","AL",41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,1040.4,26,9.7,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,9484,685,1887,2355,2009
"12",74.6,"Choctaw","AL",14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,975.7,29.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17.1,13.5,2677,2148,800,33.8,20.3,3499,325,589,837,701
"13",74,"Clarke","AL",27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,982,-1111.1,5.8,31.5,-1111.1,-1111.1,-1111.1,-1111.1,15.8,4593,3850,1150,55,29.3,5196,594,972,1494,1290
"14",74.9,"Clay","AL",13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,950.3,-1111.1,7.1,-1111.1,-1111.1,-1111.1,-1111.1,23.9,12.2,2320,2198,610,35.8,14.3,3333,266,624,814,664
"15",75.3,"Cleburne","AL",14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,1072.8,-1111.1,8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,2107,1852,646,0,6.9,3695,234,597,833,697
"16",75.9,"Coffee","AL",45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,923.6,19.1,7.1,23.3,-1111.1,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,8316,694,1940,2590,2179
"17",75.3,"Colbert","AL",54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,964.4,20.3,5.6,30.2,76.9,30.1,-1111.1,21.7,13.6,8141,8226,2302,60.4,31.1,10160,1203,2463,3162,2606
"18",73,"Conecuh","AL",13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,1093.6,19.1,7.4,-1111.1,-1111.1,-1111.1,-1111.1,12.3,8.2,2657,1947,725,60.3,7.5,2872,296,576,746,635
"19",74.9,"Coosa","AL",11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,909.2,18.3,4.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,2028,1562,621,9,9,2707,231,422,645,517
"20",74.7,"Covington","AL",37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,999.7,22,5.2,28.8,-1111.1,30.2,-1111.1,27.8,12.1,6094,6401,1583,59.5,24.3,8116,686,1763,2131,1748
"21",73.7,"Crenshaw","AL",13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,1058.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2504,2272,568,14.6,14.6,3755,271,692,783,651
"22",75.3,"Cullman","AL",79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,1028.7,23.8,8.2,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,16275,1367,3993,4572,3803
"23",75.5,"Dale","AL",48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,987.4,23.9,5.8,30.4,79.5,25,-1111.1,29.3,12.1,7831,7809,2314,24.6,22.6,7021,828,1811,2655,2280
"24",72.1,"Dallas","AL",44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,1136,25.1,7,31.5,85.9,36.6,-1111.1,20.4,11.5,9242,6424,2302,101.4,38.3,8207,1260,2183,2378,2155
"25",75.1,"DeKalb","AL",67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,960.6,22,7.2,37,80.7,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,16525,1414,2949,3790,3150
"26",75.2,"Elmore","AL",73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,946.9,15.1,5.8,27.7,85,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,10979,1091,2028,4170,3646
"27",73.2,"Escambia","AL",38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1,1042.6,31.2,7.5,34.3,87.1,33.7,-1111.1,26.1,11.4,6490,5064,1476,57.8,26.3,8120,721,1763,2165,1834
"28",73.5,"Etowah","AL",103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,1091.5,24.1,8,34.1,81.4,27.1,38.2,31.5,10.2,16180,15265,4508,72.7,42.6,18341,1982,4505,5897,4895
"29",73.9,"Fayette","AL",18228,29,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9,979.6,32.7,10,-1111.1,-1111.1,32.7,-1111.1,21.2,12.7,2358,2544,731,60.3,16.5,4298,315,931,1049,862
"30",73.6,"Franklin","AL",30737,48,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7,1091.7,25,-1111.1,28.9,85.5,-1111.1,-1111.1,-1111.1,7.2,5977,4871,1320,35.8,22.8,7922,664,1479,1742,1456
"31",74.7,"Geneva","AL",25735,45,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2,984.9,25.6,6.3,-1111.1,-1111.1,34.5,-1111.1,-1111.1,9.4,4759,4173,1118,35,15.5,6209,409,1293,1492,1218
"32",72.7,"Greene","AL",9661,15,24.9,28,57.9,12,2.1,19.9,79.7,0.1,0.2,0.7,1050.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,2384,1287,461,31.1,10.4,2156,210,429,524,468
"33",72.7,"Hale","AL",18316,28,20.6,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9,1073,-1111.1,6.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.2,3422,2358,825,27.3,5.5,4080,325,877,1011,912
"34",74.5,"Henry","AL",16610,30,16.3,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0,2.1,961.4,-1111.1,5.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,2556,2583,631,18.1,30.1,3793,294,585,951,789
"35",75.7,"Houston","AL",94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,905,21.9,6.9,32.9,77.7,29.5,34,25,8.8,14235,9901,2416,106.1,47.7,14840,1547,3259,5260,4426
"36",74.5,"Jackson","AL",53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,1027.6,22.6,7.4,34,82.3,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,12355,1219,2452,3076,2497
"37",73.6,"Jefferson","AL",657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,1034.5,17.7,6.3,29,79.1,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,83737,12866,25084,36995,31672
"38",73.9,"Lamar","AL",14962,25,16.1,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5,1044.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,2237,2648,702,13.4,20.1,3708,316,627,871,700
"39",76.4,"Lauderdale","AL",87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,910.9,23.4,7.4,25.8,77.1,23.8,34.7,21.1,6.7,11424,13168,3134,58.2,49,14143,1922,3957,5087,4340
"40",74.3,"Lawrence","AL",34605,50,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4,1054.1,28.8,7.5,31.9,85.2,19.9,-1111.1,28.5,9.2,5396,3526,1074,28.9,8.7,8128,811,1423,1965,1650
"41",75.3,"Lee","AL",123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6,983.4,16.6,6.1,25.9,74.9,21.7,24.5,27.1,7.8,17335,9041,2465,63.3,26,12989,1982,3886,6997,7710
"42",75.5,"Limestone","AL",70469,124,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3,964.4,18,7.7,30.4,79.5,26,-1111.1,25,8.1,8934,7024,1778,39.7,15.6,12210,1370,2864,4019,3408
"43",71.7,"Lowndes","AL",13076,18,23.3,29,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8,1075.8,-1111.1,7.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,2951,1326,507,15.3,7.6,2939,361,462,703,634
"44",71.9,"Macon","AL",22810,37,25.8,27,58.6,12.4,2,15.7,82.8,0.1,0.9,1,1091.8,22.8,5.5,-1111.1,-1111.1,-1111.1,-1111.1,15.7,13.6,4325,2862,781,26.3,21.9,4027,444,850,1267,1319
"45",76.1,"Madison","AL",298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,905.8,13.7,6.3,22.9,75.6,23.1,24.9,21.3,6.5,35743,32428,5431,95.2,46.6,28690,4944,9467,16746,14705
"46",74,"Marengo","AL",21879,22,20.1,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8,1034.4,-1111.1,9.3,-1111.1,-1111.1,-1111.1,-1111.1,15.6,11.3,4074,2816,862,54.8,13.7,3964,453,857,1193,1055
"47",73.9,"Marion","AL",30154,41,16.8,22.4,60.7,14.8,2.2,95,3.9,0.3,0.2,1.5,999.8,27.7,6.4,-1111.1,84.8,30.9,-1111.1,-1111.1,10.1,5205,4619,1284,53.1,26.5,7912,553,1450,1758,1393
"48",73.9,"Marshall","AL",85634,151,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5,1066.2,22.5,8.2,34.8,82.1,27.5,36.8,31.6,7.2,14593,12686,3083,63.1,33.9,17599,1461,3402,4779,3984
"49",73.5,"Mobile","AL",401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,1030.7,19.2,7,30.8,76.2,26.6,27.2,25.1,6.6,65687,47123,12197,95.4,38.4,59807,8140,9386,21921,19559
"50",74.7,"Monroe","AL",23733,23,17.7,27.4,58.4,12.3,1.9,57,41,1,0.3,0.8,957.4,11.7,6.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,4269,3035,889,50.6,29.5,4953,538,802,1299,1132
"51",74.6,"Montgomery","AL",221619,281,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,974,16.3,6,28.2,75.6,23.9,27.8,20.7,8.5,32259,25495,6378,107.4,49.2,27476,4395,7028,12171,11178
"52",75.2,"Morgan","AL",113740,195,13.2,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6,968.7,18.3,6.9,23.4,74.5,22.5,32.7,28.9,6.7,16097,14763,3367,76.5,41.3,18217,2266,4163,6428,5407
"53",73.2,"Perry","AL",11371,16,28.6,31.6,54.2,12.3,1.9,30,69.6,0.1,0.1,0.9,1173.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2776,1538,487,35.2,26.4,2502,288,476,592,581
"54",73.5,"Pickens","AL",20178,23,19.3,26.3,57.6,14.1,2,57.2,42.4,0.1,0.1,0.8,1040.1,20.7,6.6,-1111.1,-1111.1,-1111.1,-1111.1,15.2,12.8,3606,3147,929,49.6,9.9,4021,397,872,1121,973
"55",73.7,"Pike","AL",29639,44,20.3,25.4,62,11.4,1.2,60.2,36.8,0.6,1,1.6,1112.5,22,6.7,24.2,-1111.1,29.1,-1111.1,16.5,11.3,5696,3917,1180,57.4,27,5590,545,1040,1668,1638
"56",74.9,"Randolph","AL",22717,39,15.7,25.1,58.5,14.4,2,76.8,22.1,0.3,0.4,1.3,1000.4,17.3,8.4,35.2,-1111.1,-1111.1,-1111.1,22.1,8.1,3575,3357,869,26.4,17.6,5839,535,956,1281,1084
"57",72.1,"Russell","AL",49326,77,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1,1144.3,25.4,7.5,32.8,-1111.1,28.9,-1111.1,22,9.7,8785,6799,1851,32.4,16.2,11013,1111,1938,2738,2332
"58",74.9,"St. Clair","AL",72330,114,13.1,24.2,63.7,11,1.1,90.3,8.2,0.4,0.3,1.3,1059.4,25.2,8,28.2,79.7,27.6,39,28.5,13,8534,6538,2029,22.1,15.2,14117,1135,3385,4123,3497
"59",76.8,"Shelby","AL",171465,216,6.9,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1,923.4,9.9,6.1,18.9,78.3,20.8,26.7,21,4.8,13249,10635,2661,95.6,28,14846,2373,5133,9515,8223
"60",73.5,"Sumter","AL",13819,15,26.4,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4,1022.8,19.8,6.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3465,1925,595,36.2,14.5,2941,326,660,751,730
"61",73.3,"Talladega","AL",80457,109,16.8,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1,1090.6,24.6,8.4,34.1,79.1,32.7,42.2,24.1,10.9,12378,10035,4300,38.5,21.1,16423,1723,4701,4547,3867
"62",73.9,"Tallapoosa","AL",40717,57,16,23.6,59.8,14.6,2,72.9,26.3,0.2,0.2,0.9,1046.3,21.5,7.4,32.1,79.3,23.2,-1111.1,29.4,5.6,6488,5808,1749,61.4,34.4,8472,754,1816,2338,1906
"63",75,"Tuscaloosa","AL",168908,128,16.5,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,1026.2,17.9,6.9,27.1,79,25.3,29.7,23.8,7.9,23311,17734,5539,97.7,32,22290,2786,6263,9557,9241
"64",72.2,"Walker","AL",70117,88,14.8,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2,1191.7,27.3,9.5,34.9,79.3,30.5,35,33.8,11.5,10818,10991,3880,45.6,29.9,15989,1212,4106,4022,3280
"65",74.6,"Washington","AL",17773,16,16.9,27.2,59.4,12,1.3,66,26.4,6.7,0.1,0.9,993.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3037,2210,764,33.8,11.3,3236,392,709,976,848
"66",71.7,"Wilcox","AL",12937,15,27.9,30.6,56.4,11,2,27.1,72.6,0.1,0.1,0.8,1131.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,2960,1746,781,30.9,7.7,3147,307,558,679,638
"67",73.5,"Winston","AL",24498,40,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9,1072.3,25.5,9.5,-1111.1,-1111.1,28,-1111.1,26.9,8.5,4592,3642,1152,32.7,12.2,6425,475,1190,1421,1156
"68",76.9,"Aleutians East","AK",2713,0,11.7,13.4,83.2,3,0.4,33.4,1.9,29.6,33.5,14.8,620,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,488,-2222,-2222,73.7,0,525,100,-2222,171,212
"69",76.9,"Aleutians West","AK",5382,1,7.3,14,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12,1041.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,854,190,27,18.6,18.6,897,177,-2222,338,409
"70",76.9,"Anchorage","AK",275043,162,8.7,29.9,63.7,5.8,0.6,72,6.2,8.5,7.7,6.4,793.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37239,15489,3874,107.3,78.9,16120,7950,-2222,14238,20542
"71",76.9,"Bethel","AK",17127,0,20.9,41.2,53.8,4.6,0.4,13.4,0.6,82,1.3,1.1,1001.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4088,804,142,75.9,58.4,2456,893,-2222,754,1236
"72",76.9,"Bristol Bay","AK",1112,2,8.1,26.5,67.6,5.6,0.4,57.6,0.6,41.4,0.3,1,991.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0,0,80,57,-2222,60,83
"73",76.9,"Denali","AK",1881,0,6.6,22.4,73,4.4,0.3,89.6,1.3,4.7,2.3,2.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0,0,108,102,-2222,107,140
"74",76.9,"Dillingham","AK",4926,0,18.1,36.8,56.6,6.1,0.5,23.5,0.5,71.3,0.5,2.5,964.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,624,218,-2222,233,365
"75",76.9,"Fairbanks North Star","AK",87560,12,7.8,31.2,63.3,4.9,0.5,79.1,5.3,7.8,2.6,5.2,827.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,4115,2590,-2222,4461,6826
"76",76.9,"Haines","AK",2272,1,11.4,21.3,67,10.3,1.5,87.5,0.3,9.6,0.7,1.4,775.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88,44,178,129,-2222,132,170
"77",76.9,"Juneau","AK",30987,11,7.3,26.7,66.2,6.3,0.8,75.3,1.1,12.2,5.6,3.6,742.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,1354,962,-2222,1677,2318
"78",76.9,"Kenai Peninsula","AK",51960,3,9.9,27.4,63.6,8.3,0.6,87.5,0.6,7.7,1.3,2.7,873.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8308,4150,942,78.9,40.4,3781,2138,-2222,2789,3933
"79",76.9,"Ketchikan Gateway","AK",13262,11,8.1,27.5,63.8,7.7,1,74.1,1,15.8,5.3,2.9,941,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1804,1161,211,128.2,75.4,884,535,-2222,710,972
"80",76.9,"Kodiak Island","AK",13051,2,8.7,31.5,62.8,5.2,0.5,62.1,1.2,15.7,17.5,6.7,753.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2491,382,34,91.9,61.3,1142,505,-2222,662,953
"81",76.9,"Lake and Peninsula","AK",1570,0,16.6,34.1,59,6.4,0.4,23.4,0,71.5,0.8,1.3,1318.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,395,-2222,-2222,0,0,237,78,-2222,77,125
"82",76.9,"Matanuska-Susitna","AK",76006,3,10.5,29.1,64.2,6.2,0.5,88.3,1.1,5.7,1,2.8,866.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9561,3977,1006,46,32.9,5469,2514,-2222,3994,5911
"83",76.9,"Nome","AK",9328,0,17.4,37.5,56.6,5.2,0.7,20,0.5,75.7,1.1,1.1,1089,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1795,496,69,53.6,64.3,1241,471,-2222,435,693
"84",76.9,"North Slope","AK",6924,0,11.6,39.5,55.4,4.5,0.6,15.7,1.1,72,7.1,3.9,1008.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1202,298,62,57.8,43.3,796,350,-2222,313,501
"85",76.9,"Northwest Arctic","AK",7621,0,17,41.7,53.1,5,0.2,13.1,0.1,83.6,1,5.6,1119.9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,348,51,39.4,39.4,1028,368,-2222,334,562
"86",76.9,"Prince of Wales-Outer Ketchikan","AK",5660,1,13.8,26.8,64.9,7.9,0.4,53.5,0.2,40.9,0.4,2.4,829.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1176,401,74,35.3,53,575,334,-2222,306,426
"87",76.9,"Sitka","AK",8986,3,7.7,27,62.8,9.5,0.7,68.4,0.4,20.1,5.6,3.9,828,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1093,749,94,189.2,77.9,534,257,-2222,484,682
"88",-2222.2,"Skagway-Hoonah-Angoon","AK",3126,0,11.6,22.8,68,8.3,0.9,61.2,0.2,35.6,0.1,4.1,674.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,598,322,69,0,0,335,241,-2222,178,238
"89",76.9,"Southeast Fairbanks","AK",6614,0,15.7,30.8,61.5,7.2,0.5,81.8,2.8,11.5,0.8,3.3,951.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1306,451,85,30.2,60.5,503,336,-2222,340,523
"90",76.9,"Valdez-Cordova","AK",9899,0,9.1,27.4,65.8,6.2,0.6,76.8,0.5,14.6,4.2,2.4,826.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1551,634,114,50.5,30.3,719,494,-2222,532,754
"91",76.9,"Wade Hampton","AK",7541,0,25.1,47.2,47.6,4.7,0.4,4.7,0,93.4,0.1,0.4,1078.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2244,378,50,0,0,1066,525,-2222,302,559
"92",76.9,"Wrangell-Petersburg","AK",6245,1,8.9,27,62.2,9.5,1.3,75.7,0.2,16.2,2.2,2.7,865.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1015,631,97,96.1,64.1,569,293,-2222,338,470
"93",-2222.2,"Yakutat","AK",722,0,10.8,22.1,70.2,7.2,0.4,57.8,0.1,40.6,0.7,0.8,1261.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,114,-2222,-2222,0,0,79,34,-2222,41,54
"94",76.9,"Yukon-Koyukuk","AK",6143,0,17.5,32.3,59.4,7.5,0.8,26.9,0.1,69.9,0.5,1.3,1192.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1300,493,71,16.3,16.3,913,365,-2222,311,478
"95",73.9,"Apache","AZ",69343,6,27.5,36.8,53.5,8.8,0.9,22.2,0.6,76.1,0.3,4.6,943.8,15.4,5.3,22.6,64.6,24.6,18.4,14.3,7.5,17218,5982,1204,51.9,23.1,13318,2313,1323,3344,4052
"96",76.8,"Cochise","AZ",126106,20,16.3,27.1,56.9,14.4,1.6,90.1,4.4,1.3,2.1,30.8,844,16.9,6.9,22.8,72.7,23.8,26,20.2,9.1,23944,17099,2795,42,28.5,16637,2737,3232,6938,7031
"97",78.5,"Coconino","AZ",123866,7,15.6,29,63.3,7,0.7,66.1,1.3,29.9,1.2,11.6,764.8,10.8,5.5,14.8,71,16.5,17.2,19.6,4.2,22678,11990,2218,87.2,58.9,11564,3544,2509,6647,7642
"98",75.2,"Gila","AZ",51663,11,17.1,25.4,53.7,18.7,2.2,83.5,0.7,14.6,0.6,16.3,922.9,19,8.2,32.7,74.2,24.5,34.5,25.6,8.8,10361,9981,1679,75.5,27.1,7580,1276,1698,2899,2771
"99",76.8,"Graham","AZ",33073,7,20.5,30.1,57.2,11.1,1.6,80.4,2.2,16.3,0.7,27.8,868.2,15.7,6.5,25.8,79.4,23.8,24.9,16.1,10.9,6343,3726,687,36.3,42.3,4771,809,868,1752,1964
"100",76.8,"Greenlee","AZ",7521,4,11.2,30,58.8,9.9,1.3,96.2,0.8,1.9,0.5,46.4,909.9,-1111.1,6.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5,1082,907,160,39.9,13.3,811,199,204,398,415
"101",80.9,"La Paz","AZ",20238,4,17.2,20.6,50.4,26,2.9,84.2,1,13.2,0.6,22.8,766.8,22.2,6.1,26.6,83.4,22,-1111.1,18.1,8.3,4885,3324,477,34.6,9.9,4520,521,586,1202,1068
"102",77.8,"Maricopa","AZ",3635528,395,12.8,28.6,60.3,9.7,1.4,89,4.3,2.2,2.9,28.7,780.8,14.4,5.6,23.3,74.7,19.9,21.4,19.9,6.3,537647,337774,52336,69.8,33.5,401456,74246,55889,195126,197150
"103",74.8,"Mohave","AZ",187200,14,14.9,23.3,55.9,18.8,2,94.2,1,2.5,1.1,12.8,970.8,21.7,7,27.9,77.6,25,30.6,29.4,7.5,31916,32200,5638,39,20.8,29449,3485,5833,10755,9923
"104",74.8,"Navajo","AZ",108432,11,21.4,33.9,55.1,10.1,0.9,48.5,1.1,48.8,0.4,8.7,911.7,16.5,6,23.7,75.4,25.1,27.1,19.8,8.8,22206,10326,2233,49.8,24,17550,3140,2949,5446,6271
