"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"499",74.7,"Pike","GA",16128,74,10.5,25.8,63.4,9.5,1.3,86.5,12.5,0.2,0.5,1.4,1009.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1740,1649,407,12.4,0,2615,420,436,972,838
"500",73.3,"Polk","GA",40479,130,14.6,27.3,59.9,11.1,1.7,85.5,13.1,0.3,0.7,10,1098.7,24.2,6.7,30.3,-1111.1,17.9,-1111.1,25.8,10.6,6406,5268,1585,32.1,27.2,9615,1052,1405,2385,2022
"501",74.5,"Pulaski","GA",9737,39,16.8,23.6,62.9,11.8,1.7,66.3,32.4,0.3,0.7,4.4,1093.6,15,6.9,23,-1111.1,27.7,-1111.1,17.8,7.3,1513,1300,312,102.7,30.8,1790,253,291,602,488
"502",74.6,"Putnam","GA",19829,58,13.6,23.2,60.9,14.7,1.3,71,27.8,0.2,0.7,3.8,951.2,17.7,7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,3004,2543,467,30.3,10.1,3353,547,626,1232,991
"503",72.3,"Quitman","GA",2467,16,20,25,57.6,15.2,2.1,54.6,45.1,0.1,0,1.3,1024.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,563,465,125,0,0,707,64,91,150,121
"504",76.9,"Rabun","GA",16087,43,12.1,22.2,59.5,16.4,1.9,97.2,1.3,0.4,0.5,7.1,901.9,21.5,7.5,-1111.1,-1111.1,19.8,-1111.1,-1111.1,7.7,2266,2616,443,49.7,18.6,2804,352,564,1012,801
"505",72.3,"Randolph","GA",7310,17,23.6,28.6,56.2,13,2.1,39,60.1,0.4,0.4,1.5,1222.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1701,1068,249,27.4,13.7,1706,210,212,426,385
"506",72.7,"Richmond","GA",195769,604,18.6,29,60,9.8,1.2,43.7,52.7,0.3,1.7,2.6,1129.7,18,6.4,30.6,77.8,27.7,28.7,27.3,9.3,34098,20150,6218,153.8,111.9,26394,6444,5305,11316,10262
"507",76.4,"Rockdale","GA",78545,601,10.9,27.9,62.9,8.4,0.9,62.2,34.4,0.3,2.1,8.5,951,13.9,4.9,21.5,73,22.9,-1111.1,17.1,11.6,9397,6544,1258,86.6,36.9,8762,2261,1759,4609,4062
"508",73.8,"Schley","GA",4122,25,15.4,27.7,61.6,9.4,1.3,72.8,26.6,0,0.3,2.3,1176,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,733,401,102,24.3,0,790,114,142,242,210
"509",72.8,"Screven","GA",15430,24,18.5,27.6,58.2,12.3,1.9,54.8,44.4,0.3,0.5,1.2,1048.5,25,5.7,-1111.1,-1111.1,-1111.1,-1111.1,13.7,12.7,2731,1985,481,25.9,25.9,3256,392,514,911,808
"510",73.6,"Seminole","GA",9226,39,20.8,26.2,57.7,14.2,1.9,66.2,33.4,0.2,0.2,3.4,1040.8,-1111.1,6.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.7,1965,1473,332,97.6,43.4,1943,231,238,552,465
"511",73.5,"Spalding","GA",61289,310,16.3,28,60.4,10.3,1.2,65.8,32.4,0.2,0.9,2.3,1103.9,16.7,6.4,-1111.1,-1111.1,-1111.1,-1111.1,26.7,4.5,9174,6864,2072,73.4,27.7,12648,2117,1589,3578,3053
