"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"1",74.9,"Autauga","AL",48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,1041.5,21.8,7.5,27.8,78.6,24.5,29.1,26.6,14.2,45.3,22.6,0,1,0.117049288241586,0.0979593516004279,0.0248704023697852,0.137620340656628,0.0159219945692422,0.0355262075207768,0.0551304204723114,0.0492470994816095
"2",76.6,"Baldwin","AL",162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,856.9,15.4,6.7,27.2,76.2,23.6,30.5,24.6,7.2,67,30.8,0,1,0.121769402039536,0.139218628910238,0.0236121191246479,0.124574071568278,0.0155794471848745,0.0303408657571993,0.0575326288856359,0.0476855325796809
"3",74.5,"Barbour","AL",28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,1019.4,21.4,NA,NA,NA,25.6,NA,17.7,6.6,45.8,24.6,0,1,0.180404026184275,0.115717603998029,0.0384317589920462,0.236819877525164,0.0200253396213134,0.045822481875132,0.0569437601182516,0.0493770676427113
"4",73.2,"Bibb","AL",21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,1050.5,19.4,NA,NA,86.6,NA,NA,NA,13.1,41.8,18.6,0,0,0.154071388733965,0.11108012641755,0.0452686372931772,0.24888455103179,0.0166387804424614,0.0418293363078639,0.0566090351366425,0.0480572597137014
"5",76.1,"Blount","AL",55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,954.2,25.8,7.9,33.5,74.6,24.2,NA,23.6,8.4,16.2,10.8,1,0,0.145912965455361,0.0900672947510094,0.0233288470165994,0.20064602960969,0.0146971736204576,0.0397846567967699,0.0567788245850157,0.0480035890533872
"6",71.9,"Bullock","AL",11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,1107.6,NA,NA,NA,NA,NA,NA,NA,NA,54.3,18.1,0,0,0.207598371777476,0.12962460425147,0.0455902306648575,0.257620985979195,0.0295793758480326,0.0405246494798734,0.056625961103573,0.0511080958842153
"7",73,"Butler","AL",20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,1084.2,21.6,6.9,24.5,NA,22,NA,27.3,9.5,43.3,19.3,0,1,0.195271116247713,0.151690262929789,0.045844168352114,0.210103053067514,0.0258595781566021,0.046999903688722,0.056053163825484,0.0495521525570644
"8",73.1,"Calhoun","AL",112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,1100.3,26.7,8,29.2,81.9,27,33.2,25.5,11.2,75.8,41.9,0,1,0.146743831426508,0.14660115390446,0.047270846523573,0.174298427872054,0.0194576470693145,0.0510250488224646,0.0570710088192543,0.0494466787348071
"9",73.8,"Chambers","AL",35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,1075.6,32.3,7.9,34.7,84.6,NA,NA,11.7,17.1,53.6,22.6,0,1,0.156034968979131,0.154342921601805,0.0422165820642978,0.24585448392555,0.0239424703891709,0.0414551607445008,0.0565425831923294,0.0464467005076142
"10",75.3,"Cherokee","AL",24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,999.3,NA,8.8,NA,NA,NA,NA,23.6,13.3,28.5,12.2,1,0,0.146113693825952,0.125846178941359,0.0348258706467662,0.260908571894625,0.0189217845200228,0.0470597830519533,0.0585596607128293,0.0464888671397113
"11",74.1,"Chilton","AL",41744,60,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,1040.4,26,9.7,30.3,82.8,31.2,26.5,30,6,31.1,19.2,0,1,0.146847451130701,0.10844672288233,0.0313098888463013,0.227194327328478,0.0164095438865466,0.0452041011881947,0.0564152932157915,0.0481266768876964
"12",74.6,"Choctaw","AL",14807,16,18.7,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,975.7,29.8,NA,NA,NA,NA,NA,17.1,13.5,33.8,20.3,0,0,0.180792868237996,0.145066522590667,0.0540285000337678,0.236307152022692,0.0219490781387182,0.0397784831498616,0.0565273181603296,0.047342473154589
"13",74,"Clarke","AL",27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,982,NA,5.8,31.5,NA,NA,NA,NA,15.8,55,29.3,1,1,0.168433019179288,0.141185962081484,0.0421724302321317,0.19054604129231,0.0217829770068576,0.035644871465767,0.0547874876233085,0.047306465216913
"14",74.9,"Clay","AL",13964,23,14,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,950.3,NA,7.1,NA,NA,NA,NA,23.9,12.2,35.8,14.3,1,0,0.166141506731596,0.157404755084503,0.0436837582354626,0.238685190489831,0.0190489830993985,0.0446863362933257,0.058292752792896,0.0475508450300773
"15",75.3,"Cleburne","AL",14460,26,14,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,1072.8,NA,8,NA,NA,NA,NA,NA,10.5,0,6.9,1,0,0.145712309820194,0.128077455048409,0.0446749654218534,0.255532503457815,0.0161825726141079,0.0412863070539419,0.0576071922544952,0.0482019363762102
"16",75.9,"Coffee","AL",45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,923.6,19.1,7.1,23.3,NA,25.5,31.3,23,10.3,48.3,39.5,0,1,0.148440757565782,0.133846862861281,0.0299778348366142,0.182500493778392,0.0152303201878552,0.0425746702657625,0.0568393793754252,0.0478196940768539
"17",75.3,"Colbert","AL",54660,92,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,964.4,20.3,5.6,30.2,76.9,30.1,NA,21.7,13.6,60.4,31.1,0,1,0.148938894987194,0.150493962678375,0.0421148920600073,0.185876326381266,0.0220087815587267,0.0450603732162459,0.0578485181119649,0.0476765459202342
"18",73,"Conecuh","AL",13257,16,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,1093.6,19.1,7.4,NA,NA,NA,NA,12.3,8.2,60.3,7.5,0,0,0.200422418345025,0.146865806743607,0.0546880893113072,0.216640265520103,0.0223278268084785,0.043448744059742,0.056272158105152,0.0478992230519725
"19",74.9,"Coosa","AL",11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,909.2,18.3,4.9,NA,NA,NA,NA,NA,15,9,9,0,0,0.181687869557427,0.139939079018097,0.0556351908260168,0.242519261781043,0.020695215911127,0.0378068446514961,0.0577853431284716,0.0463178641820462
"20",74.7,"Covington","AL",37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,999.7,22,5.2,28.8,NA,30.2,NA,27.8,12.1,59.5,24.3,0,1,0.164689349512202,0.172985974110207,0.0427803151095857,0.219333567548577,0.0185390373753479,0.0476447855579277,0.0575899251412048,0.0472394130205659
"21",73.7,"Crenshaw","AL",13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,1058.7,NA,NA,NA,NA,NA,NA,NA,NA,14.6,14.6,0,0,0.182414220150069,0.165513222116996,0.0413783055292489,0.273548481095651,0.0197421140817367,0.0504115975814089,0.0570408683616231,0.0474247832738399
"22",75.3,"Cullman","AL",79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,1028.7,23.8,8.2,29.4,76.2,22.2,35,27.6,10,53.8,22.5,0,1,0.14911248529154,0.139311018200936,0.0300428110056831,0.203727812132289,0.0171118844353203,0.0499837268107053,0.0572315549658263,0.0476053376060887
"23",75.5,"Dale","AL",48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,987.4,23.9,5.8,30.4,79.5,25,NA,29.3,12.1,24.6,22.6,1,0,0.160642487896939,0.160191187330762,0.0474686140969886,0.144026421596783,0.0169853122179371,0.0371502420612128,0.0544637728727332,0.046771149585624
"24",72.1,"Dallas","AL",44366,45,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,1136,25.1,7,31.5,85.9,36.6,NA,20.4,11.5,101.4,38.3,0,1,0.208312671865843,0.144795564170761,0.0518865798133706,0.184983996754271,0.0284001262227832,0.0492043456701077,0.0535996032998242,0.0485732317540459
"25",75.1,"DeKalb","AL",67271,86,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,960.6,22,7.2,37,80.7,24.3,35.3,19.1,7.8,34.2,19.3,0,1,0.182247922581796,0.125031588648898,0.0349481946158077,0.245648199075382,0.021019458607721,0.0438376120467958,0.0563392843870316,0.0468255266013587
"26",75.2,"Elmore","AL",73937,119,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,946.9,15.1,5.8,27.7,85,24.8,23,22.6,5.5,33.8,16.2,0,1,0.112528233496084,0.105387018678064,0.0293087358156268,0.148491283119412,0.0147558056182967,0.0274287569146706,0.0563993670286866,0.0493122523229236
"27",73.2,"Escambia","AL",38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1,1042.6,31.2,7.5,34.3,87.1,33.7,NA,26.1,11.4,57.8,26.3,0,1,0.170421721548238,0.132976209232708,0.0387584685678273,0.213224095373142,0.0189328291581324,0.046294837456016,0.0568510057244893,0.0481592353342787
"28",73.5,"Etowah","AL",103189,193,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,1091.5,24.1,8,34.1,81.4,27.1,38.2,31.5,10.2,72.7,42.6,0,1,0.156799658878369,0.147932434658733,0.0436868270842822,0.177741813565399,0.0192074736648286,0.0436577542179883,0.0571475641783523,0.0474372268361938
"29",73.9,"Fayette","AL",18228,29,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9,979.6,32.7,10,NA,NA,32.7,NA,21.2,12.7,60.3,16.5,1,1,0.12936142198815,0.139565503620803,0.0401031380294053,0.2357910906298,0.0172811059907834,0.0510752688172043,0.0575488259820057,0.0472898836954136
"30",73.6,"Franklin","AL",30737,48,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7,1091.7,25,NA,28.9,85.5,NA,NA,NA,7.2,35.8,22.8,0,1,0.194456192862023,0.158473500992289,0.0429449848716531,0.257734977388815,0.0216026287536194,0.0481179035039204,0.0566743663988027,0.0473696196766112
"31",74.7,"Geneva","AL",25735,45,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2,984.9,25.6,6.3,NA,NA,34.5,NA,NA,9.4,35,15.5,1,0,0.184923256265786,0.162152710316689,0.0434427822032252,0.24126675733437,0.015892753060035,0.0502428599183991,0.0579755197202254,0.0473285408976103
"32",72.7,"Greene","AL",9661,15,24.9,28,57.9,12,2.1,19.9,79.7,0.1,0.2,0.7,1050.9,NA,NA,NA,NA,NA,NA,NA,7.1,31.1,10.4,0,0,0.24676534520236,0.133216023186006,0.0477176275747852,0.223165303798779,0.0217368802401408,0.0444053410620019,0.0542386916468275,0.0484421902494566
"33",72.7,"Hale","AL",18316,28,20.6,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9,1073,NA,6.9,NA,NA,NA,NA,NA,5.2,27.3,5.5,0,0,0.186831185848439,0.128739899541385,0.0450425857174055,0.222756060275169,0.0177440489189779,0.047881633544442,0.0551976414064206,0.0497925311203319
"34",74.5,"Henry","AL",16610,30,16.3,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0,2.1,961.4,NA,5.5,NA,NA,NA,NA,NA,8,18.1,30.1,1,1,0.153883202889825,0.155508729680915,0.0379891631547261,0.22835641180012,0.0177001806140879,0.0352197471402769,0.0572546658639374,0.0475015051173992
"35",75.7,"Houston","AL",94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,905,21.9,6.9,32.9,77.7,29.5,34,25,8.8,106.1,47.7,0,1,0.151036085263504,0.105051512482891,0.0256342242358009,0.157455251514605,0.016413967256947,0.0345786162187397,0.05580961071205,0.0469607104584664
"36",74.5,"Jackson","AL",53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,1027.6,22.6,7.4,34,82.3,29.4,29.2,37,6.1,70.8,29.8,0,1,0.135955265610438,0.144342963653308,0.0368685927306617,0.230288909599254,0.0227213420316869,0.0457036346691519,0.0573345759552656,0.046542404473439
"37",73.6,"Jefferson","AL",657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,1034.5,17.7,6.3,29,79.1,27.1,31.9,23.4,9.7,154.9,71.5,0,1,0.133025170830867,0.136762072276178,0.0329032955027852,0.127409167885166,0.0195761294769403,0.0381663012435544,0.0562893603295046,0.0481902046318711
"38",73.9,"Lamar","AL",14962,25,16.1,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5,1044.9,NA,NA,NA,NA,NA,NA,NA,3.2,13.4,20.1,1,1,0.149512097313193,0.176981686940249,0.0469188611148242,0.247827830503943,0.0211201711001203,0.0419061622777704,0.0582141424943189,0.0467851891458361
"39",76.4,"Lauderdale","AL",87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,910.9,23.4,7.4,25.8,77.1,23.8,34.7,21.1,6.7,58.2,49,0,1,0.130275626917244,0.150163642791164,0.0357391294431584,0.161282229647284,0.0219178707050895,0.0451243571176061,0.0580105141918783,0.0494919661082665
"40",74.3,"Lawrence","AL",34605,50,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4,1054.1,28.8,7.5,31.9,85.2,19.9,NA,28.5,9.2,28.9,8.7,0,0,0.155931223811588,0.10189279005924,0.0310359774599046,0.234879352694697,0.0234359196647883,0.0411212252564658,0.0567837017771998,0.0476809709579541
"41",75.3,"Lee","AL",123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6,983.4,16.6,6.1,25.9,74.9,21.7,24.5,27.1,7.8,63.3,26,0,1,0.140644522692975,0.07335258896263,0.0199993509338439,0.105384003764584,0.0160806140165836,0.031528388531001,0.0567689486750937,0.0625537507910494
"42",75.5,"Limestone","AL",70469,124,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3,964.4,18,7.7,30.4,79.5,26,NA,25,8.1,39.7,15.6,0,1,0.126779151116094,0.0996750344122948,0.025230952617463,0.173267677986065,0.0194411727142431,0.0406419844186806,0.0570321701741191,0.048361690956307
"43",71.7,"Lowndes","AL",13076,18,23.3,29,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8,1075.8,NA,7.7,NA,NA,NA,NA,NA,9.6,15.3,7.6,0,1,0.225680636280208,0.10140715815234,0.0387733251758948,0.224762924441725,0.0276078311410217,0.0353319057815846,0.0537626185377791,0.0484857754665035
"44",71.9,"Macon","AL",22810,37,25.8,27,58.6,12.4,2,15.7,82.8,0.1,0.9,1,1091.8,22.8,5.5,NA,NA,NA,NA,15.7,13.6,26.3,21.9,0,0,0.189609820254274,0.125471284524331,0.0342393686979395,0.176545374835598,0.0194651468654099,0.0372643577378343,0.0555458132398071,0.0578255151249452
"45",76.1,"Madison","AL",298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,905.8,13.7,6.3,22.9,75.6,23.1,24.9,21.3,6.5,95.2,46.6,0,1,0.119865724097226,0.10874872565327,0.0182130976015453,0.0962131780866019,0.0165799216612116,0.0317480012877609,0.0561584482481086,0.0493138648924183
"46",74,"Marengo","AL",21879,22,20.1,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8,1034.4,NA,9.3,NA,NA,NA,NA,15.6,11.3,54.8,13.7,0,1,0.186205950911833,0.128707893413776,0.0393985099867453,0.181178298825358,0.0207047854106678,0.0391699803464509,0.054527172174231,0.048219754102107
"47",73.9,"Marion","AL",30154,41,16.8,22.4,60.7,14.8,2.2,95,3.9,0.3,0.2,1.5,999.8,27.7,6.4,NA,84.8,30.9,NA,NA,10.1,53.1,26.5,1,1,0.172613915235126,0.153180340916628,0.0425814154009418,0.262386416395835,0.0183391921469788,0.0480864893546461,0.0583007229554951,0.046196192876567
"48",73.9,"Marshall","AL",85634,151,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5,1066.2,22.5,8.2,34.8,82.1,27.5,36.8,31.6,7.2,63.1,33.9,1,1,0.170411285237172,0.148142093093865,0.0360020552584254,0.205514164934489,0.0170609804516897,0.039727211154448,0.0558072728122008,0.0465235770838686
"49",73.5,"Mobile","AL",401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,1030.7,19.2,7,30.8,76.2,26.6,27.2,25.1,6.6,95.4,38.4,0,1,0.163633736644521,0.117388715756539,0.0303841047064597,0.148985992471857,0.0202776594499124,0.0233815861912627,0.0546076870763551,0.0487236782777441
"50",74.7,"Monroe","AL",23733,23,17.7,27.4,58.4,12.3,1.9,57,41,1,0.3,0.8,957.4,11.7,6.5,NA,NA,NA,NA,NA,8.1,50.6,29.5,0,1,0.179876121855644,0.127881009564741,0.0374583912695403,0.208696751358867,0.0226688577086757,0.0337926094467619,0.0547339148021742,0.0476972991193697
"51",74.6,"Montgomery","AL",221619,281,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,974,16.3,6,28.2,75.6,23.9,27.8,20.7,8.5,107.4,49.2,0,1,0.145560624314702,0.115039775470515,0.0287791209237475,0.123978539746141,0.0198313321511242,0.0317120824478046,0.0549185764758437,0.0504379137167842
"52",75.2,"Morgan","AL",113740,195,13.2,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6,968.7,18.3,6.9,23.4,74.5,22.5,32.7,28.9,6.7,76.5,41.3,0,1,0.141524529628978,0.129796026024266,0.029602602426587,0.160163530859856,0.0199226305609284,0.0366010198698787,0.0565148584490944,0.0475382451204501
"53",73.2,"Perry","AL",11371,16,28.6,31.6,54.2,12.3,1.9,30,69.6,0.1,0.1,0.9,1173.9,NA,NA,NA,NA,NA,NA,NA,NA,35.2,26.4,0,0,0.244129803887081,0.135256353882684,0.0428282472957524,0.220033418344912,0.0253275877231554,0.0418608741535485,0.0520622636531528,0.0510948905109489
"54",73.5,"Pickens","AL",20178,23,19.3,26.3,57.6,14.1,2,57.2,42.4,0.1,0.1,0.8,1040.1,20.7,6.6,NA,NA,NA,NA,15.2,12.8,49.6,9.9,1,0,0.178709485578353,0.155961938745168,0.0460402418475567,0.199276439686788,0.01967489344831,0.0432153830904946,0.0555555555555556,0.0482208345723065
"55",73.7,"Pike","AL",29639,44,20.3,25.4,62,11.4,1.2,60.2,36.8,0.6,1,1.6,1112.5,22,6.7,24.2,NA,29.1,NA,16.5,11.3,57.4,27,0,1,0.192179223320625,0.132156955362867,0.0398124093255508,0.188602854347313,0.0183879348156146,0.0350889031343838,0.0562772023347616,0.0552650224366544
"56",74.9,"Randolph","AL",22717,39,15.7,25.1,58.5,14.4,2,76.8,22.1,0.3,0.4,1.3,1000.4,17.3,8.4,35.2,NA,NA,NA,22.1,8.1,26.4,17.6,1,1,0.157371131751552,0.147774794206982,0.0382532904873003,0.257032178544702,0.023550644891491,0.0420830215257296,0.056389488048598,0.0477175683408901
"57",72.1,"Russell","AL",49326,77,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1,1144.3,25.4,7.5,32.8,NA,28.9,NA,22,9.7,32.4,16.2,0,1,0.178100798767384,0.137838057008474,0.0375258484369298,0.223269675221992,0.0225236183757045,0.0392896241333171,0.0555082512265337,0.0472772979767263
"58",74.9,"St. Clair","AL",72330,114,13.1,24.2,63.7,11,1.1,90.3,8.2,0.4,0.3,1.3,1059.4,25.2,8,28.2,79.7,27.6,39,28.5,13,22.1,15.2,1,0,0.117987004009401,0.0903912622701507,0.0280519839623946,0.195174892852205,0.0156919673717683,0.0467993916770358,0.0570026268491636,0.0483478501313425
"59",76.8,"Shelby","AL",171465,216,6.9,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1,923.4,9.9,6.1,18.9,78.3,20.8,26.7,21,4.8,95.6,28,0,1,0.077269413582947,0.0620243198320357,0.015519202169539,0.0865832677222757,0.0138395590936926,0.0299361385705538,0.0554923745370775,0.0479573090718222
"60",73.5,"Sumter","AL",13819,15,26.4,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4,1022.8,19.8,6.6,NA,NA,NA,NA,NA,11.8,36.2,14.5,0,1,0.250741732397424,0.139300962443013,0.0430566611187495,0.212822924958391,0.0235907084448947,0.0477603299804617,0.0543454663868587,0.052825819523844
"61",73.3,"Talladega","AL",80457,109,16.8,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1,1090.6,24.6,8.4,34.1,79.1,32.7,42.2,24.1,10.9,38.5,21.1,0,1,0.153846153846154,0.124725008389575,0.053444697167431,0.204121456181563,0.0214151658649962,0.0584287259032775,0.056514660004723,0.0480629404526642
"62",73.9,"Tallapoosa","AL",40717,57,16,23.6,59.8,14.6,2,72.9,26.3,0.2,0.2,0.9,1046.3,21.5,7.4,32.1,79.3,23.2,NA,29.4,5.6,61.4,34.4,0,1,0.159343763047376,0.142643122037478,0.0429550310681042,0.208070339170371,0.0185180637080335,0.044600535402903,0.0574207333546185,0.0468109143600953
"63",75,"Tuscaloosa","AL",168908,128,16.5,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,1026.2,17.9,6.9,27.1,79,25.3,29.7,23.8,7.9,97.7,32,0,1,0.138010040969048,0.104992066687191,0.0327929997395032,0.131965330238947,0.0164941861841949,0.0370793568096242,0.0565810974021361,0.0547102564709783
"64",72.2,"Walker","AL",70117,88,14.8,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2,1191.7,27.3,9.5,34.9,79.3,30.5,35,33.8,11.5,45.6,29.9,0,1,0.154284980817776,0.156752285465722,0.055336081121554,0.228033144601167,0.0172853944121968,0.0585592652281187,0.0573612675955902,0.0467789551749219
"65",74.6,"Washington","AL",17773,16,16.9,27.2,59.4,12,1.3,66,26.4,6.7,0.1,0.9,993.7,NA,NA,NA,NA,NA,NA,NA,10.5,33.8,11.3,0,0,0.170877173240308,0.124345917965453,0.0429865526360209,0.182073932369324,0.0220559275305238,0.0398919709671974,0.0549147583413042,0.0477128228211332
"66",71.7,"Wilcox","AL",12937,15,27.9,30.6,56.4,11,2,27.1,72.6,0.1,0.1,0.8,1131.2,NA,NA,NA,NA,NA,NA,NA,7.6,30.9,7.7,0,0,0.228801113086496,0.134961737651697,0.0603694828785654,0.243255778001082,0.02373038571539,0.0431321017237381,0.052485120197882,0.0493159155909407
"67",73.5,"Winston","AL",24498,40,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9,1072.3,25.5,9.5,NA,NA,28,NA,26.9,8.5,32.7,12.2,1,0,0.187443872969222,0.148665197158952,0.0470242468772961,0.26226630745367,0.0193893379051351,0.0485753939097069,0.0580047350804147,0.0471875255122867
"68",76.9,"Aleutians East","AK",2713,0,11.7,13.4,83.2,3,0.4,33.4,1.9,29.6,33.5,14.8,620,NA,NA,NA,NA,NA,NA,NA,NA,73.7,0,0,0,0.179874677478806,-0.81901953556948,-0.81901953556948,0.193512716549945,0.0368595650571323,-0.81901953556948,0.0630298562476963,0.0781422779211205
"69",76.9,"Aleutians West","AK",5382,1,7.3,14,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12,1041.3,NA,NA,NA,NA,NA,NA,NA,NA,18.6,18.6,0,0,0.15867707172055,0.0353028613898179,0.00501672240802676,0.166666666666667,0.0328874024526198,-0.412857673727239,0.0628019323671498,0.0759940542549238
"70",76.9,"Anchorage","AK",275043,162,8.7,29.9,63.7,5.8,0.6,72,6.2,8.5,7.7,6.4,793.2,NA,NA,NA,NA,NA,NA,NA,NA,107.3,78.9,0,1,0.135393374854114,0.0563148307719157,0.0140850703344568,0.058609017499082,0.0289045712852172,-0.00807873677933996,0.0517664510640154,0.0746865035648971
"71",76.9,"Bethel","AK",17127,0,20.9,41.2,53.8,4.6,0.4,13.4,0.6,82,1.3,1.1,1001.7,NA,NA,NA,NA,NA,NA,NA,NA,75.9,58.4,0,1,0.238687452560285,0.046943422665966,0.00829100251065569,0.143399311029369,0.0521398960705319,-0.129736673089274,0.0440240555847492,0.0721667542476791
"72",76.9,"Bristol Bay","AK",1112,2,8.1,26.5,67.6,5.6,0.4,57.6,0.6,41.4,0.3,1,991.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.137589928057554,0.304856115107914,0.0656474820143885,0.0719424460431655,0.0512589928057554,-1.99820143884892,0.0539568345323741,0.0746402877697842
"73",76.9,"Denali","AK",1881,0,6.6,22.4,73,4.4,0.3,89.6,1.3,4.7,2.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.146730462519936,-1.1812865497076,-1.1812865497076,0.0574162679425837,0.0542264752791069,-1.1812865497076,0.0568846358320043,0.0744284954811271
"74",76.9,"Dillingham","AK",4926,0,18.1,36.8,56.6,6.1,0.5,23.5,0.5,71.3,0.5,2.5,964.5,NA,NA,NA,NA,NA,NA,NA,NA,182.7,101.5,0,1,0.230004060089322,0.071051563134389,0.0101502233049127,0.126674786845311,0.0442549736094194,-0.451075923670321,0.0473000406008932,0.0740966301258628
"75",76.9,"Fairbanks North Star","AK",87560,12,7.8,31.2,63.3,4.9,0.5,79.1,5.3,7.8,2.6,5.2,827.9,NA,NA,NA,NA,NA,NA,NA,NA,93.7,75.4,0,1,0.133405664687072,0.0488236637734125,0.01094106898127,0.0469963453631795,0.0295797167656464,-0.0253768844221106,0.0509479214253084,0.0779579716765646
"76",76.9,"Haines","AK",2272,1,11.4,21.3,67,10.3,1.5,87.5,0.3,9.6,0.7,1.4,775.1,NA,NA,NA,NA,NA,NA,NA,NA,88,44,0,1,0.15625,0.122799295774648,0.0145246478873239,0.0783450704225352,0.0567781690140845,-0.977992957746479,0.0580985915492958,0.0748239436619718
"77",76.9,"Juneau","AK",30987,11,7.3,26.7,66.2,6.3,0.8,75.3,1.1,12.2,5.6,3.6,742.2,NA,NA,NA,NA,NA,NA,NA,NA,122.6,67.8,0,1,0.126698292832478,0.0763868719140285,0.0162003420789363,0.0436957433762546,0.0310452770516668,-0.0717074902378417,0.0541194694549327,0.074805563623455
"78",76.9,"Kenai Peninsula","AK",51960,3,9.9,27.4,63.6,8.3,0.6,87.5,0.6,7.7,1.3,2.7,873.3,NA,NA,NA,NA,NA,NA,NA,NA,78.9,40.4,0,1,0.159892224788299,0.079869130100077,0.0181293302540416,0.0727675134719015,0.0411470361816782,-0.0427636643571978,0.0536759045419554,0.0756928406466513
"79",76.9,"Ketchikan Gateway","AK",13262,11,8.1,27.5,63.8,7.7,1,74.1,1,15.8,5.3,2.9,941,NA,NA,NA,NA,NA,NA,NA,NA,128.2,75.4,0,1,0.13602774845423,0.0875433569597346,0.015910119137385,0.0666566128789021,0.0403408234052179,-0.167546373096064,0.053536419846177,0.0732921128034987
"80",76.9,"Kodiak Island","AK",13051,2,8.7,31.5,62.8,5.2,0.5,62.1,1.2,15.7,17.5,6.7,753.5,NA,NA,NA,NA,NA,NA,NA,NA,91.9,61.3,0,1,0.190866600260516,0.0292697877557275,0.00260516435522182,0.0875028733430388,0.0386943529231476,-0.17025515286185,0.0507240824457896,0.073021224427247
