"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"3116",79.7,"Wood","WI",75234,95,7.8,23.8,59.7,13.3,3.2,96.5,0.5,0.7,1.7,1.1,699.7,12.7,5.4,22.6,75.7,25.6,27.5,19.7,7.5,215.3,70.4,0,1,0.0650370842969934,0.17381768881091,0.0198979184942978,0.104846213148311,0.0300661934763538,0.0225031235877396,0.0652896296887046,0.0512002552037643
"3117",77.4,"Albany","WY",30890,7,14.4,21.6,69.6,7.8,0.9,94.1,1.2,1,2.1,6.7,840.2,9.1,5.5,15,71.7,16.4,17.6,15.5,4.1,97.1,45.3,1,1,0.167756555519586,0.0863062479766915,0.0135318873421819,0.0354159922304953,0.018873421819359,0.0404985432178699,0.0746843638718032,0.0680155390093882
"3118",77.7,"Big Horn","WY",11333,4,13.2,25.3,57.5,14.8,2.4,98,0.2,0.9,0.4,6.2,886,14.5,6.1,23.7,80.6,21,31.1,21.1,6.5,35.3,44.1,0,1,0.179652342715962,0.159798817612283,0.0215300450013236,0.110650313244507,0.0214418071119739,0.0257654636901085,0.0708550251477985,0.0463248919085855
"3119",76.4,"Campbell","WY",37405,8,7.9,26.8,67.6,5.2,0.4,97,0.3,1.2,0.5,4.2,956.6,11.3,5.2,24.2,82,23.9,19.1,26.5,4.2,72.2,32.1,1,1,0.133538297019115,0.0523726774495388,0.010854163881834,0.0746156930891592,0.0164951209731319,0.0273225504611683,0.0694559550862184,0.0475070177783719
"3120",77.4,"Carbon","WY",15331,2,12.2,21.4,65.2,11.8,1.5,96.3,1,1.2,1,13,947.5,14.9,6.4,24.6,80.6,25.2,31.6,25.6,6.2,52.2,45.7,1,0,0.159546017872285,0.123670993412041,0.0192420585741308,0.116822125105994,0.0202856956493379,0.0328745678690235,0.0742939142913052,0.0444198030135021
"3121",77.4,"Converse","WY",12766,3,10.5,23.9,63.9,11.1,1.1,97.8,0.1,0.9,0.3,4.5,894.4,15.5,6.2,21.4,80.4,21.7,25,25.5,6.3,54.8,15.7,1,0,0.148284505718314,0.112642957856807,0.0150399498668338,0.0928246905843647,0.0193482688391039,0.0212282625724581,0.0722230925896914,0.0455115149616168
"3122",77.4,"Crook","WY",6182,2,8.5,21.9,62,13.8,2.3,98.5,0.1,1.1,0.1,1.1,762.6,13.1,5.5,25.1,82.6,21.9,22.5,24.3,5.4,32.4,16.2,1,1,0.131834357813006,0.136363636363636,0.0143966353930767,0.0981882885797477,0.0179553542542866,0.023778712390812,0.0739242963442252,0.0469103849886768
"3123",73.9,"Fremont","WY",36491,4,12.9,25.4,60.4,12.8,1.4,77.5,0.3,20.6,0.3,4.8,1002,13.1,5.7,21.3,76.6,21.4,23,21.6,6.9,90.4,60.3,0,1,0.187854539475487,0.135978734482475,0.023211202762325,0.100243895755118,0.0234304349017566,0.0338439615247595,0.0708393850538489,0.0461483653503604
"3124",77.2,"Goshen","WY",12243,6,14.6,22.7,58.9,15.1,3.3,98.1,0.2,1,0.3,9,770.5,18,6,25.1,77.5,24,29.7,21,7.4,81.7,24.5,1,1,0.197990688556726,0.178224291431839,0.0207465490484358,0.103896103896104,0.0209099077023605,0.0206648697214735,0.0732663562852242,0.0471289716572735
"3125",77.8,"Hot Springs","WY",4537,2,11.6,18.3,59.7,18.7,3.3,97,0.6,1.6,0.4,2.5,850.2,17.9,6.3,24.4,74.4,28.8,30.9,19.9,7.3,88.2,66.1,1,0,0.176107560061715,0.209389464403791,0.0332819043420763,0.117037690103593,0.0207185364778488,0.0288737050914701,0.0771434868856072,0.043861582543531
"3126",77.7,"Johnson","WY",7721,2,9.6,20.6,62,15.1,2.4,98.2,0.1,0.7,0.2,2.2,787.2,11.1,5.1,20.5,76.3,18.5,19.8,15.8,6,103.6,38.9,1,1,0.15891723869965,0.171739411993265,0.0178733324698873,0.0709752622717265,0.0173552648620645,0.0235720761559383,0.075119803134309,0.0450718818805854
"3127",77.2,"Laramie","WY",85163,32,9.9,25,63,10.4,1.6,93.1,2.6,0.9,1.2,10.6,864.9,11.5,5.4,20.8,78.7,20.2,21.4,24.9,6.1,83.4,47,0,1,0.133872691192184,0.114321947324542,0.0206897361530242,0.0728015687563848,0.0205136033253878,0.0193041579089511,0.0710519826685298,0.0454305273416859
"3128",78.2,"Lincoln","WY",15999,4,9.5,26.1,61.3,11.2,1.3,98.1,0.1,0.6,0.3,2.6,796.2,12,5.5,18.9,72.7,21.2,23.7,16.1,4.4,56.3,50,1,1,0.135383461466342,0.116382273892118,0.0107506719169948,0.0779423713982124,0.0195012188261766,0.0171260703793987,0.0701918869929371,0.0478154884680293
"3129",76.6,"Natrona","WY",69799,13,12.1,24.7,62.6,11.3,1.4,96.2,1,1.1,0.4,4.9,909,14.2,6,22.5,80.7,20.5,23.1,27.8,6.4,87.4,48.7,0,1,0.144228427341366,0.121835556383329,0.0204157652688434,0.0777948108139085,0.0195848078052694,0.0328658003696328,0.0714336881617215,0.0465049642545022
"3130",77.4,"Niobrara","WY",2286,1,14.1,19.6,61.4,15.6,3.4,99,0.2,0.5,0.1,1.6,919.1,13.4,5,25.1,75.4,21.6,26.6,22.3,4.8,0,43.7,1,0,0.178040244969379,0.195538057742782,0.0174978127734033,0.0927384076990376,0.0192475940507437,0.0161854768153981,0.0761154855643045,0.0446194225721785
"3131",77.8,"Park","WY",26664,4,11.7,21.8,62.4,13.5,2.3,98.1,0.1,0.5,0.4,4,762.8,11.7,5.2,20.3,78.8,18.2,22.8,17.8,5.3,112.5,48.8,0,1,0.154477947794779,0.151515151515152,0.0178892889288929,0.0856210621062106,0.0214146414641464,0.0212646264626463,0.0742199219921992,0.0474047404740474
"3132",77.2,"Platte","WY",8619,4,11.5,21.4,61.2,15.3,2.2,98.5,0.2,0.6,0.2,5.5,916.3,13.9,4.9,22.8,82.2,22.3,30.1,20.8,6.3,34.8,34.8,1,0,0.179603202227637,0.178094906601694,0.0228564798700545,0.105928762037359,0.0229725026105117,0.0190277294349693,0.0743705766330201,0.0459450052210233
"3133",77,"Sheridan","WY",27389,11,11.5,22.2,62.4,13.3,2.1,96.9,0.3,1.5,0.4,2.6,872.4,13.6,5.8,20.2,77.5,19.4,26.2,22.6,6.9,73,47.5,1,1,0.135273284895396,0.147650516630764,0.0204461645186024,0.0808718828726861,0.0207747635912228,0.0205191865347402,0.0736792142831064,0.0454927160538902
