"","county_name","state_abbr","population_size","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","prim_care_phys_rate","major_depression","recent_drug_use","ale","all_death","diabetes","health_status","no_exercise","obesity","poverty","smoker","unhealthy_days","population_density","uninsured","elderly_medicare","disabled_medicare","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled"
"1698","Hooker","NE",744,20.3,52.4,20.6,6.7,99.2,0,0.3,0.1,1.1,268.8,48,28,78.4,783.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,9,23.1128804587561,6.10639445300462,1,123,199,15,268.8,55,14,9
"1699","Howard","NE",6708,25.1,58,14.1,2.9,98.8,0.5,0.2,0.4,1.4,14.9,407,253,78.3,764,6.5,15,24,28.9,10.7,16,5.1,12,972,1139,108,29.8,577,131,120
"1700","Jefferson","NE",7925,21.2,56.2,17.5,5.1,98.5,0.1,0.7,0.4,1.4,63.1,503,289,78.7,758.8,7.4,12.8,33.2,24,9.5,19.9,5.5,14,885,1806,196,63.1,894,167,129
"1701","Johnson","NE",4695,21.6,54.4,16.4,7.6,95.8,0.4,0.4,3.1,5.6,85.2,296,170,77,768.9,6.7,19.6,26.5083862194016,24.1451888489209,9,20.3,4.8,12,589,930,77,63.9,654,110,75
"1702","Kearney","NE",6774,24.1,60.2,12.8,2.8,99.1,0.3,0.2,0.2,2.5,29.5,415,248,76.9,814.4,5.5,16.6,25.9,24.2,7.9,17.4,4,13,682,1041,138,44.3,536,113,125
"1703","Keith","NE",8330,22.8,57.5,17.2,2.5,98.4,0.2,0.9,0.3,4.1,84,518,299,77.5,848.9,7.7,19.9,26.2,23.6,10.5,22.6,5.8,8,1269,1518,187,72,785,159,131
"1704","Keya Paha","NE",902,24.6,53.6,17.3,4.4,99.8,0,0.2,0,4.7,0,55,30,79.5,704,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,13.1,23.1128804587561,6.10639445300462,1,316,195,17,0,113,15,12
"1705","Kimball","NE",3782,22.8,55.6,17.8,3.8,98.7,0.3,0.6,0.1,4.2,0,235,138,76.4,842.5,4.2,12.8,33.1,24.1451888489209,11.9,24.8,5.3,4,613,815,106,52.9,407,64,55
"1706","Knox","NE",8916,23.4,53.1,19.4,4.1,91.6,0.1,8,0.3,1.3,44.9,552,323,79,795.3,7.5,13.3,29,25.5,13.7,18.1,5,8,1590,2094,185,67.3,1120,167,155
"1707","Lancaster","NE",264814,24.9,64.7,8.9,1.6,91.6,3,0.7,3.2,4.1,84.6,16060,11053,79,759.1,5.4,9.5,22.8,21.3,9.5,20.6,4.6,316,23280,26306,4077,72.5,15837,5486,3982
"1708","Lincoln","NE",35636,25.4,59.6,12.7,2.3,97.2,0.9,0.7,0.4,5.4,73,2146,1319,77.7,812.9,6.7,14.4,22.7,23.4,10.9,20.9,5.6,14,4508,5125,827,56.1,3266,730,785
"1709","Logan","NE",740,22.3,58.9,15,3.8,98.8,0.1,1.1,0,0.9,0,46,28,78.4,982.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,10,23.1128804587561,6.10639445300462,1,118,3495,699,0,47,11,12
"1710","Loup","NE",686,24.3,55.7,17.3,2.6,99.4,0,0.3,0.1,1.9,0,42,25,78.3,689.6,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.1,23.1128804587561,6.10639445300462,1,218,3495,699,0,39,15,14
"1711","McPherson","NE",507,23.7,56.1,15.2,4.9,99.6,0,0,0.4,1.6,0,31,19,78.4,413.8,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,12.1,23.1128804587561,6.10639445300462,1,104,3495,699,0,39,6,10
"1712","Madison","NE",35488,27.2,58.6,11.8,2.4,95.3,1.9,1.4,0.7,12.2,104.3,2090,1359,78.7,783.9,5.8,15.1,24.1,18.5,11.2,20.2,4.6,62,4605,5246,731,73.3,3955,829,534
"1713","Merrick","NE",8066,25.1,57,14.9,3.1,99.2,0.3,0.2,0.2,2.3,37.2,488,296,79,805.2,9.4,17.7,37.1,31.3,9.9,23.2,4.6,17,1120,1363,152,49.6,804,160,125
"1714","Morrill","NE",5165,24.5,58.6,14.6,2.3,98.6,0.1,0.8,0.4,10.1,58.1,315,196,76.4,960.5,9.2,13.5,26.9,23,13.7,21.2,4.3,4,1038,919,117,19.4,718,90,164
"1715","Nance","NE",3666,24.9,55.3,17.5,2.3,99.4,0,0.4,0,1.4,0,223,136,78.7,942.5,13.1,8.7,26.5083862194016,24.1451888489209,11.6,23.1128804587561,3.4,8,647,754,69,81.8,483,81,55
"1716","Nemaha","NE",6965,22.5,59.6,14.1,3.8,98.1,0.5,0.4,0.7,1.4,86.1,437,289,77,855.9,7.8,18.1,29.1,26.8,11.1,24.2,4.9,17,675,1215,164,43.1,669,163,111
"1717","Nuckolls","NE",4739,21.6,54.9,18.9,4.6,99.5,0.1,0,0.3,1.5,84.4,300,169,77.8,803.2,7.3,12,25.5,24.6,11.1,10.1,5.2,8,625,1197,104,84.4,527,79,87
"1718","Otoe","NE",15509,24.5,57.8,14.8,3,98.4,0.4,0.3,0.3,3.2,70.9,945,562,77,819,6.2,14.2,25,25.1,8.4,17,3.5,25,1431,2566,291,51.6,1533,346,350
"1719","Pawnee","NE",2878,21,53.1,20.4,5.5,99.3,0,0.2,0.2,0.9,69.5,183,103,77,857.7,8.5,15.6,26.5083862194016,24.1451888489209,10.8,13,3.1,7,443,752,57,69.5,341,58,107
"1720","Perkins","NE",3057,23.9,57.1,14.9,4,99,0.1,0.3,0.3,2.7,65.4,188,115,77.5,769.4,12.2,12.9,27.8,18.6,10.1,14.8,4.7,3,478,586,35,32.7,268,41,47
"1721","Phelps","NE",9449,24.4,57.2,15.3,3.1,98.8,0.2,0.3,0.3,2.8,116.4,576,343,76.9,792.9,4.7,12,28.5,30.9,9.6,15.4,4.7,17,965,1670,191,52.9,704,151,136
"1722","Pierce","NE",7600,25.9,59.5,11.6,2.9,99.2,0.1,0.4,0.2,0.8,65.8,456,302,77.4,802.5,6.1,7.6,33.5,21.9,9.9,23.2,4.9,13,1006,1236,101,26.3,758,153,144
"1723","Platte","NE",31262,27.9,59.1,11,1.9,97.9,0.5,0.3,0.5,9.5,48,1825,1166,79.2,750.4,5.7,12.6,20,20.7,8.6,16.8,4.7,46,3400,2695,204,35.2,3084,650,525
"1724","Polk","NE",5421,23.9,55.7,16.6,3.9,99.4,0.1,0.3,0,2.3,18.4,332,193,79,717.2,6.2,18.2,22.5,18.9,7.4,23.3,4.2,12,569,1027,61,36.9,503,99,93
"1725","Red Willow","NE",11060,24.3,56.3,15.8,3.6,98.5,0.3,0.5,0.2,3,81.4,676,411,77.7,778.4,6.8,16.9,25.5,21.6,10.7,22.2,5.8,15,1663,2147,244,72.3,905,209,153
"1726","Richardson","NE",8732,22.9,55.7,17.6,3.8,95.8,0.3,2.3,0.3,1.2,22.9,543,324,77,924,7.2,17,31.6,28.7,11.5,22.6,5.9,16,1176,1926,255,57.3,1109,201,168
"1727","Rock","NE",1567,20.1,57.4,18.1,4.3,99,0,0.6,0.3,0.6,0,101,55,79.5,712.2,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,14.7,23.1128804587561,6.10639445300462,2,378,365,16,63.8,145,29,28
"1728","Saline","NE",14195,26,58.6,12.1,3.3,96.4,1,0.4,1.6,15.2,49.3,851,582,78.7,810.8,6.2,10.5,22.9,28.1,8.3,18.5,3.8,25,1649,2245,241,49.3,1688,272,216
"1729","Sarpy","NE",139371,29.3,63.1,7,0.6,91.5,4,0.4,2.2,5.2,86.1,7970,5417,78.2,868.1,5.4,9.3,18.9,25,5.5,19.9,4.8,579,9961,7815,1022,42.3,5727,2388,2701
"1730","Saunders","NE",20458,25.2,59.9,12.5,2.3,98.9,0.2,0.3,0.3,1.5,39.1,1235,780,78.5,745.8,7.4,12.6,26.1,23.6,7.5,18.8,5.3,27,1800,2920,323,24.4,1792,440,326
"1731","Scotts Bluff","NE",36752,25.6,57.4,14.3,2.7,95.8,0.5,2.2,0.7,18.5,95.2,2206,1344,77.4,883.1,8.8,17.8,25.1,26.1,14.4,22.1,6.2,50,6288,6143,1180,51.7,5019,804,763
"1732","Seward","NE",16739,25.5,59.6,12.2,2.7,98,0.4,0.2,0.6,1.4,65.7,1015,733,78.9,776.5,6.4,10.8,20.4,21.7,7.3,15,3.9,29,1235,2377,190,35.8,1297,289,252
"1733","Sheridan","NE",5668,23.7,54.4,17.9,4,87.6,0.1,10.3,0.2,1.4,52.9,349,209,78.3,847.9,7,16.9,29.7,28.2,13.3,14.2,6.5,2,1139,1247,90,35.3,539,90,78
"1734","Sherman","NE",3112,22.1,54.8,18.6,4.5,99.4,0.1,0.1,0.3,1,32.1,195,111,78.3,794,12.8,15.1,26.5083862194016,27.6,11.5,23.1128804587561,5.2,5,595,723,43,0,397,73,115
"1735","Sioux","NE",1458,20.3,62,15.7,2.1,99.6,0,0.1,0.2,2.5,0,94,56,78.3,488.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,9.7,23.1128804587561,6.10639445300462,1,364,3495,699,0,142,23,36
"1736","Stanton","NE",6534,27.6,60,10.6,1.8,98.5,0.4,0.5,0.2,2.8,0,384,248,80.1,709.4,1.7,10.5,20,24.5,7.8,25.5,4.3,15,846,520,67,0,586,115,100
"1737","Thayer","NE",5436,22,53.3,20.3,4.3,99.4,0,0.3,0.1,1.2,55.2,341,189,77.8,805.6,8.8,16.8,24.4,27.1,10.3,19.7,5.2,9,650,1411,127,18.4,747,92,85
"1738","Thomas","NE",623,17.4,65.2,13,4.3,99.5,0,0.5,0,1.1,0,41,22,78.4,714.9,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.8,23.1128804587561,6.10639445300462,1,141,3495,699,0,76,16,9
"1739","Thurston","NE",7365,37.1,50.7,10.5,1.7,44.8,0.6,53.4,0.1,3.3,40.7,378,288,77.4,1152.1,14.7,13.9,26.3,24.1451888489209,20.3,23.1128804587561,4.1,19,1667,849,137,54.3,766,239,104
"1740","Valley","NE",4402,22.7,54.6,18.8,3.9,98.9,0.2,0.4,0.2,1.7,68.2,274,161,78.3,735.9,5.7,23.1,24.1,25.6,11.8,14.7,6.9,8,718,1022,83,45.4,469,87,72
"1741","Washington","NE",19772,24.5,62.3,11.3,1.8,98.5,0.5,0.2,0.5,1.1,50.6,1205,792,78.3,797.3,6.8,13.2,20.6,28.4,6.1,19,6,51,1439,2314,214,25.3,1332,371,286
"1742","Wayne","NE",9211,24.1,62.2,11.6,2.2,97.8,0.9,0.4,0.5,3.2,43.4,570,502,77.4,624.9,5,5.8,21.9,21.3,11.3,20.7,2.7,21,1075,1225,102,43.4,633,167,185
"1743","Webster","NE",3762,21.4,53.3,20.4,4.9,98.6,0.2,0.2,0.7,0.7,26.6,238,134,77.8,826.3,3.7,16.3,30.5,20.1,9.6,22.5,5.2,7,491,964,105,26.6,446,72,65
