"","county_name","state_abbr","population_size","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","prim_care_phys_rate","major_depression","recent_drug_use","ale","all_death","diabetes","health_status","no_exercise","obesity","poverty","smoker","unhealthy_days","population_density","uninsured","elderly_medicare","disabled_medicare","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled"
"1","Autauga","AL",48612,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,45.3,2680,2394,74.9,1041.5,14.2,21.8,27.8,24.5,10.4,26.6,7.5,82,5690,4762,1209,22.6,6690,774,1727
"2","Baldwin","AL",162586,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,67,9354,7753,76.6,856.9,7.2,15.4,27.2,23.6,10.2,24.6,6.7,102,19798,22635,3839,30.8,20254,2533,4933
"3","Barbour","AL",28414,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,45.8,1618,1403,74.5,1019.4,6.6,21.4,26.5083862194016,25.6,22.1,17.7,6.10639445300462,32,5126,3288,1092,24.6,6729,569,1302
"4","Bibb","AL",21516,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,41.8,1218,1034,73.2,1050.5,13.1,19.4,26.5083862194016,24.1451888489209,16.8,23.1128804587561,6.10639445300462,35,3315,2390,974,18.6,5355,358,900
"5","Blount","AL",55725,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,16.2,3164,2675,76.1,954.2,8.4,25.8,33.5,24.2,11.9,23.6,7.9,86,8131,5019,1300,10.8,11181,819,2217
"6","Bullock","AL",11055,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,54.3,626,565,71.9,1107.6,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,26.2,23.1128804587561,6.10639445300462,18,2295,1433,504,18.1,2848,327,448
"7","Butler","AL",20766,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,43.3,1164,1029,73,1084.2,9.5,21.6,24.5,22,20,27.3,6.9,27,4055,3150,952,19.3,4363,537,976
"8","Calhoun","AL",112141,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,75.8,6400,5545,73.1,1100.3,11.2,26.7,29.2,27,16.4,25.5,8,184,16456,16440,5301,41.9,19546,2182,5722
"9","Chambers","AL",35460,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,53.6,2005,1647,73.8,1075.6,17.1,32.3,34.7,24.1451888489209,16.2,11.7,7.9,59,5533,5473,1497,22.6,8718,849,1470
"10","Cherokee","AL",24522,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,28.5,1436,1140,75.3,999.3,13.3,17.3167541380702,26.5083862194016,24.1451888489209,15.2,23.6,8.8,44,3583,3086,854,12.2,6398,464,1154
"11","Chilton","AL",41744,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,31.1,2355,2009,74.1,1040.4,6,26,30.3,31.2,14.9,30,9.7,60,6130,4527,1307,19.2,9484,685,1887
"12","Choctaw","AL",14807,24.9,59.5,13.7,2,55.7,43.9,0.1,0.1,0.8,33.8,837,701,74.6,975.7,13.5,29.8,26.5083862194016,24.1451888489209,18.7,17.1,6.10639445300462,16,2677,2148,800,20.3,3499,325,589
"13","Clarke","AL",27269,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,55,1494,1290,74,982,15.8,17.3167541380702,31.5,24.1451888489209,19.2,23.1128804587561,5.8,22,4593,3850,1150,29.3,5196,594,972
"14","Clay","AL",13964,22.4,60.3,14.9,2.5,84.2,15,0.3,0.1,2.1,35.8,814,664,74.9,950.3,12.2,17.3167541380702,26.5083862194016,24.1451888489209,14,23.9,7.1,23,2320,2198,610,14.3,3333,266,624
"15","Cleburne","AL",14460,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,0,833,697,75.3,1072.8,10.5,17.3167541380702,26.5083862194016,24.1451888489209,14,23.1128804587561,8,26,2107,1852,646,6.9,3695,234,597
"16","Coffee","AL",45567,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,48.3,2590,2179,75.9,923.6,10.3,19.1,23.3,25.5,13.7,23,7.1,67,6764,6099,1366,39.5,8316,694,1940
"17","Colbert","AL",54660,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3,60.4,3162,2606,75.3,964.4,13.6,20.3,30.2,30.1,14,21.7,5.6,92,8141,8226,2302,31.1,10160,1203,2463
"18","Conecuh","AL",13257,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,60.3,746,635,73,1093.6,8.2,19.1,26.5083862194016,24.1451888489209,22,12.3,7.4,16,2657,1947,725,7.5,2872,296,576
"19","Coosa","AL",11162,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,9,645,517,74.9,909.2,15,18.3,26.5083862194016,24.1451888489209,13.4,23.1128804587561,4.9,17,2028,1562,621,9,2707,231,422
"20","Covington","AL",37003,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,59.5,2131,1748,74.7,999.7,12.1,22,28.8,30.2,17.5,27.8,5.2,36,6094,6401,1583,24.3,8116,686,1763
"21","Crenshaw","AL",13727,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,14.6,783,651,73.7,1058.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,17.6,23.1128804587561,6.10639445300462,23,2504,2272,568,14.6,3755,271,692
"22","Cullman","AL",79886,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,53.8,4572,3803,75.3,1028.7,10,23.8,29.4,22.2,13.3,27.6,8.2,108,11912,11129,2400,22.5,16275,1367,3993
"23","Dale","AL",48748,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,24.6,2655,2280,75.5,987.4,12.1,23.9,30.4,25,15.8,29.3,5.8,87,7831,7809,2314,22.6,7021,828,1811
"24","Dallas","AL",44366,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,101.4,2378,2155,72.1,1136,11.5,25.1,31.5,36.6,25,20.4,7,45,9242,6424,2302,38.3,8207,1260,2183
"25","DeKalb","AL",67271,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8,34.2,3790,3150,75.1,960.6,7.8,22,37,24.3,15.1,19.1,7.2,86,12260,8411,2351,19.3,16525,1414,2949
"26","Elmore","AL",73937,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7,33.8,4170,3646,75.2,946.9,5.5,15.1,27.7,24.8,12.5,22.6,5.8,119,8320,7792,2167,16.2,10979,1091,2028
"27","Escambia","AL",38082,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1,57.8,2165,1834,73.2,1042.6,11.4,31.2,34.3,33.7,18.6,26.1,7.5,40,6490,5064,1476,26.3,8120,721,1763
"28","Etowah","AL",103189,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,72.7,5897,4895,73.5,1091.5,10.2,24.1,34.1,27.1,15.7,31.5,8,193,16180,15265,4508,42.6,18341,1982,4505
"29","Fayette","AL",18228,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9,60.3,1049,862,73.9,979.6,12.7,32.7,26.5083862194016,32.7,16.1,21.2,10,29,2358,2544,731,16.5,4298,315,931
"30","Franklin","AL",30737,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7,35.8,1742,1456,73.6,1091.7,7.2,25,28.9,24.1451888489209,17.4,23.1128804587561,6.10639445300462,48,5977,4871,1320,22.8,7922,664,1479
"31","Geneva","AL",25735,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2,35,1492,1218,74.7,984.9,9.4,25.6,26.5083862194016,34.5,17.6,23.1128804587561,6.3,45,4759,4173,1118,15.5,6209,409,1293
"32","Greene","AL",9661,28,57.9,12,2.1,19.9,79.7,0.1,0.2,0.7,31.1,524,468,72.7,1050.9,7.1,17.3167541380702,26.5083862194016,24.1451888489209,24.9,23.1128804587561,6.10639445300462,15,2384,1287,461,10.4,2156,210,429
"33","Hale","AL",18316,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9,27.3,1011,912,72.7,1073,5.2,17.3167541380702,26.5083862194016,24.1451888489209,20.6,23.1128804587561,6.9,28,3422,2358,825,5.5,4080,325,877
"34","Henry","AL",16610,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0,2.1,18.1,951,789,74.5,961.4,8,17.3167541380702,26.5083862194016,24.1451888489209,16.3,23.1128804587561,5.5,30,2556,2583,631,30.1,3793,294,585
"35","Houston","AL",94249,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,106.1,5260,4426,75.7,905,8.8,21.9,32.9,29.5,15.3,25,6.9,162,14235,9901,2416,47.7,14840,1547,3259
"36","Jackson","AL",53650,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,70.8,3076,2497,74.5,1027.6,6.1,22.6,34,29.4,14.5,37,7.4,50,7294,7744,1978,29.8,12355,1219,2452
"37","Jefferson","AL",657229,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,154.9,36995,31672,73.6,1034.5,9.7,17.7,29,27.1,14.4,23.4,6.3,591,87428,89884,21625,71.5,83737,12866,25084
"38","Lamar","AL",14962,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5,13.4,871,700,73.9,1044.9,3.2,17.3167541380702,26.5083862194016,24.1451888489209,16.1,23.1128804587561,6.10639445300462,25,2237,2648,702,20.1,3708,316,627
"39","Lauderdale","AL",87691,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,58.2,5087,4340,76.4,910.9,6.7,23.4,25.8,23.8,15.6,21.1,7.4,131,11424,13168,3134,49,14143,1922,3957
"40","Lawrence","AL",34605,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4,28.9,1965,1650,74.3,1054.1,9.2,28.8,31.9,19.9,14.4,28.5,7.5,50,5396,3526,1074,8.7,8128,811,1423
"41","Lee","AL",123254,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6,63.3,6997,7710,75.3,983.4,7.8,16.6,25.9,21.7,15.1,27.1,6.1,202,17335,9041,2465,26,12989,1982,3886
"42","Limestone","AL",70469,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3,39.7,4019,3408,75.5,964.4,8.1,18,30.4,26,11.8,25,7.7,124,8934,7024,1778,15.6,12210,1370,2864
"43","Lowndes","AL",13076,29,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8,15.3,703,634,71.7,1075.8,9.6,17.3167541380702,26.5083862194016,24.1451888489209,23.3,23.1128804587561,7.7,18,2951,1326,507,7.6,2939,361,462
"44","Macon","AL",22810,27,58.6,12.4,2,15.7,82.8,0.1,0.9,1,26.3,1267,1319,71.9,1091.8,13.6,22.8,26.5083862194016,24.1451888489209,25.8,15.7,5.5,37,4325,2862,781,21.9,4027,444,850
"45","Madison","AL",298192,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,95.2,16746,14705,76.1,905.8,6.5,13.7,22.9,23.1,10.9,21.3,6.3,370,35743,32428,5431,46.6,28690,4944,9467
"46","Marengo","AL",21879,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8,54.8,1193,1055,74,1034.4,11.3,17.3167541380702,26.5083862194016,24.1451888489209,20.1,15.6,9.3,22,4074,2816,862,13.7,3964,453,857
"47","Marion","AL",30154,22.4,60.7,14.8,2.2,95,3.9,0.3,0.2,1.5,53.1,1758,1393,73.9,999.8,10.1,27.7,26.5083862194016,30.9,16.8,23.1128804587561,6.4,41,5205,4619,1284,26.5,7912,553,1450
"48","Marshall","AL",85634,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5,63.1,4779,3984,73.9,1066.2,7.2,22.5,34.8,27.5,15.2,31.6,8.2,151,14593,12686,3083,33.9,17599,1461,3402
"49","Mobile","AL",401427,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,95.4,21921,19559,73.5,1030.7,6.6,19.2,30.8,26.6,18.5,25.1,7,326,65687,47123,12197,38.4,59807,8140,9386
"50","Monroe","AL",23733,27.4,58.4,12.3,1.9,57,41,1,0.3,0.8,50.6,1299,1132,74.7,957.4,8.1,11.7,26.5083862194016,24.1451888489209,17.7,23.1128804587561,6.5,23,4269,3035,889,29.5,4953,538,802
"51","Montgomery","AL",221619,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,107.4,12171,11178,74.6,974,8.5,16.3,28.2,23.9,18,20.7,6,281,32259,25495,6378,49.2,27476,4395,7028
"52","Morgan","AL",113740,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6,76.5,6428,5407,75.2,968.7,6.7,18.3,23.4,22.5,13.2,28.9,6.9,195,16097,14763,3367,41.3,18217,2266,4163
"53","Perry","AL",11371,31.6,54.2,12.3,1.9,30,69.6,0.1,0.1,0.9,35.2,592,581,73.2,1173.9,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,28.6,23.1128804587561,6.10639445300462,16,2776,1538,487,26.4,2502,288,476
"54","Pickens","AL",20178,26.3,57.6,14.1,2,57.2,42.4,0.1,0.1,0.8,49.6,1121,973,73.5,1040.1,12.8,20.7,26.5083862194016,24.1451888489209,19.3,15.2,6.6,23,3606,3147,929,9.9,4021,397,872
"55","Pike","AL",29639,25.4,62,11.4,1.2,60.2,36.8,0.6,1,1.6,57.4,1668,1638,73.7,1112.5,11.3,22,24.2,29.1,20.3,16.5,6.7,44,5696,3917,1180,27,5590,545,1040
"56","Randolph","AL",22717,25.1,58.5,14.4,2,76.8,22.1,0.3,0.4,1.3,26.4,1281,1084,74.9,1000.4,8.1,17.3,35.2,24.1451888489209,15.7,22.1,8.4,39,3575,3357,869,17.6,5839,535,956
"57","Russell","AL",49326,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1,32.4,2738,2332,72.1,1144.3,9.7,25.4,32.8,28.9,18.6,22,7.5,77,8785,6799,1851,16.2,11013,1111,1938
"58","St. Clair","AL",72330,24.2,63.7,11,1.1,90.3,8.2,0.4,0.3,1.3,22.1,4123,3497,74.9,1059.4,13,25.2,28.2,27.6,13.1,28.5,8,114,8534,6538,2029,15.2,14117,1135,3385
"59","Shelby","AL",171465,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1,95.6,9515,8223,76.8,923.4,4.8,9.9,18.9,20.8,6.9,21,6.1,216,13249,10635,2661,28,14846,2373,5133
"60","Sumter","AL",13819,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4,36.2,751,730,73.5,1022.8,11.8,19.8,26.5083862194016,24.1451888489209,26.4,23.1128804587561,6.6,15,3465,1925,595,14.5,2941,326,660
"61","Talladega","AL",80457,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1,38.5,4547,3867,73.3,1090.6,10.9,24.6,34.1,32.7,16.8,24.1,8.4,109,12378,10035,4300,21.1,16423,1723,4701
"62","Tallapoosa","AL",40717,23.6,59.8,14.6,2,72.9,26.3,0.2,0.2,0.9,61.4,2338,1906,73.9,1046.3,5.6,21.5,32.1,23.2,16,29.4,7.4,57,6488,5808,1749,34.4,8472,754,1816
"63","Tuscaloosa","AL",168908,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,97.7,9557,9241,75,1026.2,7.9,17.9,27.1,25.3,16.5,23.8,6.9,128,23311,17734,5539,32,22290,2786,6263
"64","Walker","AL",70117,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2,45.6,4022,3280,72.2,1191.7,11.5,27.3,34.9,30.5,14.8,33.8,9.5,88,10818,10991,3880,29.9,15989,1212,4106
"65","Washington","AL",17773,27.2,59.4,12,1.3,66,26.4,6.7,0.1,0.9,33.8,976,848,74.6,993.7,10.5,17.3167541380702,26.5083862194016,24.1451888489209,16.9,23.1128804587561,6.10639445300462,16,3037,2210,764,11.3,3236,392,709
"66","Wilcox","AL",12937,30.6,56.4,11,2,27.1,72.6,0.1,0.1,0.8,30.9,679,638,71.7,1131.2,7.6,17.3167541380702,26.5083862194016,24.1451888489209,27.9,23.1128804587561,6.10639445300462,15,2960,1746,781,7.7,3147,307,558
"67","Winston","AL",24498,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9,32.7,1421,1156,73.5,1072.3,8.5,25.5,26.5083862194016,28,16.9,26.9,9.5,40,4592,3642,1152,12.2,6425,475,1190
"68","Aleutians East","AK",2713,13.4,83.2,3,0.4,33.4,1.9,29.6,33.5,14.8,73.7,171,212,76.9,620,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.7,23.1128804587561,6.10639445300462,0,488,3495,699,0,525,100,745
"69","Aleutians West","AK",5382,14,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12,18.6,338,409,76.9,1041.3,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,7.3,23.1128804587561,6.10639445300462,1,854,190,27,18.6,897,177,745
"70","Anchorage","AK",275043,29.9,63.7,5.8,0.6,72,6.2,8.5,7.7,6.4,107.3,14238,20542,76.9,793.2,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,8.7,23.1128804587561,6.10639445300462,162,37239,15489,3874,78.9,16120,7950,745
"71","Bethel","AK",17127,41.2,53.8,4.6,0.4,13.4,0.6,82,1.3,1.1,75.9,754,1236,76.9,1001.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,20.9,23.1128804587561,6.10639445300462,0,4088,804,142,58.4,2456,893,745
"72","Bristol Bay","AK",1112,26.5,67.6,5.6,0.4,57.6,0.6,41.4,0.3,1,0,60,83,76.9,991.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,8.1,23.1128804587561,6.10639445300462,2,153,339,73,0,80,57,745
"73","Denali","AK",1881,22.4,73,4.4,0.3,89.6,1.3,4.7,2.3,2.8,0,107,140,76.9,905.681899298917,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,6.6,23.1128804587561,6.10639445300462,0,276,3495,699,0,108,102,745
"74","Dillingham","AK",4926,36.8,56.6,6.1,0.5,23.5,0.5,71.3,0.5,2.5,182.7,233,365,76.9,964.5,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,18.1,23.1128804587561,6.10639445300462,0,1133,350,50,101.5,624,218,745
"75","Fairbanks North Star","AK",87560,31.2,63.3,4.9,0.5,79.1,5.3,7.8,2.6,5.2,93.7,4461,6826,76.9,827.9,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,7.8,23.1128804587561,6.10639445300462,12,11681,4275,958,75.4,4115,2590,745
"76","Haines","AK",2272,21.3,67,10.3,1.5,87.5,0.3,9.6,0.7,1.4,88,132,170,76.9,775.1,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.4,23.1128804587561,6.10639445300462,1,355,279,33,44,178,129,745
"77","Juneau","AK",30987,26.7,66.2,6.3,0.8,75.3,1.1,12.2,5.6,3.6,122.6,1677,2318,76.9,742.2,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,7.3,23.1128804587561,6.10639445300462,11,3926,2367,502,67.8,1354,962,745
"78","Kenai Peninsula","AK",51960,27.4,63.6,8.3,0.6,87.5,0.6,7.7,1.3,2.7,78.9,2789,3933,76.9,873.3,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,9.9,23.1128804587561,6.10639445300462,3,8308,4150,942,40.4,3781,2138,745
"79","Ketchikan Gateway","AK",13262,27.5,63.8,7.7,1,74.1,1,15.8,5.3,2.9,128.2,710,972,76.9,941,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,8.1,23.1128804587561,6.10639445300462,11,1804,1161,211,75.4,884,535,745
"80","Kodiak Island","AK",13051,31.5,62.8,5.2,0.5,62.1,1.2,15.7,17.5,6.7,91.9,662,953,76.9,753.5,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,8.7,23.1128804587561,6.10639445300462,2,2491,382,34,61.3,1142,505,745
"81","Lake and Peninsula","AK",1570,34.1,59,6.4,0.4,23.4,0,71.5,0.8,1.3,0,77,125,76.9,1318.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,16.6,23.1128804587561,6.10639445300462,0,395,3495,699,0,237,78,745
"82","Matanuska-Susitna","AK",76006,29.1,64.2,6.2,0.5,88.3,1.1,5.7,1,2.8,46,3994,5911,76.9,866.8,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,10.5,23.1128804587561,6.10639445300462,3,9561,3977,1006,32.9,5469,2514,745
"83","Nome","AK",9328,37.5,56.6,5.2,0.7,20,0.5,75.7,1.1,1.1,53.6,435,693,76.9,1089,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,17.4,23.1128804587561,6.10639445300462,0,1795,496,69,64.3,1241,471,745
"84","North Slope","AK",6924,39.5,55.4,4.5,0.6,15.7,1.1,72,7.1,3.9,57.8,313,501,76.9,1008.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.6,23.1128804587561,6.10639445300462,0,1202,298,62,43.3,796,350,745
"85","Northwest Arctic","AK",7621,41.7,53.1,5,0.2,13.1,0.1,83.6,1,5.6,39.4,334,562,76.9,1119.9,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,17,23.1128804587561,6.10639445300462,0,1291,348,51,39.4,1028,368,745
"86","Prince of Wales-Outer Ketchikan","AK",5660,26.8,64.9,7.9,0.4,53.5,0.2,40.9,0.4,2.4,35.3,306,426,76.9,829.8,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,13.8,23.1128804587561,6.10639445300462,1,1176,401,74,53,575,334,745
"87","Sitka","AK",8986,27,62.8,9.5,0.7,68.4,0.4,20.1,5.6,3.9,189.2,484,682,76.9,828,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,7.7,23.1128804587561,6.10639445300462,3,1093,749,94,77.9,534,257,745
"88","Skagway-Hoonah-Angoon","AK",3126,22.8,68,8.3,0.9,61.2,0.2,35.6,0.1,4.1,0,178,238,76.3228735266008,674.7,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,11.6,23.1128804587561,6.10639445300462,0,598,322,69,0,335,241,745
"89","Southeast Fairbanks","AK",6614,30.8,61.5,7.2,0.5,81.8,2.8,11.5,0.8,3.3,30.2,340,523,76.9,951.3,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,15.7,23.1128804587561,6.10639445300462,0,1306,451,85,60.5,503,336,745
"90","Valdez-Cordova","AK",9899,27.4,65.8,6.2,0.6,76.8,0.5,14.6,4.2,2.4,50.5,532,754,76.9,826.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,9.1,23.1128804587561,6.10639445300462,0,1551,634,114,30.3,719,494,745
"91","Wade Hampton","AK",7541,47.2,47.6,4.7,0.4,4.7,0,93.4,0.1,0.4,0,302,559,76.9,1078.3,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,25.1,23.1128804587561,6.10639445300462,0,2244,378,50,0,1066,525,745
"92","Wrangell-Petersburg","AK",6245,27,62.2,9.5,1.3,75.7,0.2,16.2,2.2,2.7,96.1,338,470,76.9,865.4,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,8.9,23.1128804587561,6.10639445300462,1,1015,631,97,64.1,569,293,745
"93","Yakutat","AK",722,22.1,70.2,7.2,0.4,57.8,0.1,40.6,0.7,0.8,0,41,54,76.3228735266008,1261.3,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,10.8,23.1128804587561,6.10639445300462,0,114,3495,699,0,79,34,745
"94","Yukon-Koyukuk","AK",6143,32.3,59.4,7.5,0.8,26.9,0.1,69.9,0.5,1.3,16.3,311,478,76.9,1192.1,7.81018756895918,17.3167541380702,26.5083862194016,24.1451888489209,17.5,23.1128804587561,6.10639445300462,0,1300,493,71,16.3,913,365,745
"95","Apache","AZ",69343,36.8,53.5,8.8,0.9,22.2,0.6,76.1,0.3,4.6,51.9,3344,4052,73.9,943.8,7.5,15.4,22.6,24.6,27.5,14.3,5.3,6,17218,5982,1204,23.1,13318,2313,1323
"96","Cochise","AZ",126106,27.1,56.9,14.4,1.6,90.1,4.4,1.3,2.1,30.8,42,6938,7031,76.8,844,9.1,16.9,22.8,23.8,16.3,20.2,6.9,20,23944,17099,2795,28.5,16637,2737,3232
"97","Coconino","AZ",123866,29,63.3,7,0.7,66.1,1.3,29.9,1.2,11.6,87.2,6647,7642,78.5,764.8,4.2,10.8,14.8,16.5,15.6,19.6,5.5,7,22678,11990,2218,58.9,11564,3544,2509
"98","Gila","AZ",51663,25.4,53.7,18.7,2.2,83.5,0.7,14.6,0.6,16.3,75.5,2899,2771,75.2,922.9,8.8,19,32.7,24.5,17.1,25.6,8.2,11,10361,9981,1679,27.1,7580,1276,1698
"99","Graham","AZ",33073,30.1,57.2,11.1,1.6,80.4,2.2,16.3,0.7,27.8,36.3,1752,1964,76.8,868.2,10.9,15.7,25.8,23.8,20.5,16.1,6.5,7,6343,3726,687,42.3,4771,809,868
"100","Greenlee","AZ",7521,30,58.8,9.9,1.3,96.2,0.8,1.9,0.5,46.4,39.9,398,415,76.8,909.9,5,17.3167541380702,26.5083862194016,24.1451888489209,11.2,23.1128804587561,6.1,4,1082,907,160,13.3,811,199,204
"101","La Paz","AZ",20238,20.6,50.4,26,2.9,84.2,1,13.2,0.6,22.8,34.6,1202,1068,80.9,766.8,8.3,22.2,26.6,22,17.2,18.1,6.1,4,4885,3324,477,9.9,4520,521,586
"102","Maricopa","AZ",3635528,28.6,60.3,9.7,1.4,89,4.3,2.2,2.9,28.7,69.8,195126,197150,77.8,780.8,6.3,14.4,23.3,19.9,12.8,19.9,5.6,395,537647,337774,52336,33.5,401456,74246,55889
"103","Mohave","AZ",187200,23.3,55.9,18.8,2,94.2,1,2.5,1.1,12.8,39,10755,9923,74.8,970.8,7.5,21.7,27.9,25,14.9,29.4,7,14,31916,32200,5638,20.8,29449,3485,5833
"104","Navajo","AZ",108432,33.9,55.1,10.1,0.9,48.5,1.1,48.8,0.4,8.7,49.8,5446,6271,74.8,911.7,8.8,16.5,23.7,25.1,21.4,19.8,6,11,22206,10326,2233,24,17550,3140,2949
"105","Pima","AZ",924786,26,59.6,12.5,1.9,88.7,3.4,3.6,2.6,31.6,93.1,51475,52043,77.3,809,6.6,13.7,20.9,19.7,14.3,18.7,6,101,149746,115794,18764,38.2,99444,19949,18572
"106","Pinal","AZ",229549,26.1,59.4,13.1,1.4,86.9,3.5,7.4,1.1,29.6,21.3,12759,12869,76.9,795.2,10.6,19,26.9,26.7,14.6,21.8,6.3,43,33439,22222,4581,10,40746,4531,6954
"107","Santa Cruz","AZ",42009,33.4,55,10.4,1.2,97.7,0.6,0.8,0.8,80.4,45.2,2121,2334,80,662.7,7,18.3,36.9,20,19.2,18.1,4.3,34,11544,4595,534,16.7,9488,1432,1058
"108","Yavapai","AZ",198701,21.1,56.9,19.5,2.5,95.6,0.7,1.7,0.8,11.5,63.4,11746,10856,77.8,778.8,5.7,17.4,23.4,16,12,21.9,6.6,24,28886,33866,5176,32.2,21679,3646,5592
"109","Yuma","AZ",181277,30.8,51.8,15.6,1.8,93,2.7,1.9,1.4,54.6,43.6,9471,9943,80.9,608.9,9.2,19.1,26.7,25.7,18,16.2,5.6,33,45336,17942,2509,17.7,37549,12082,6971
"110","Arkansas","AR",20073,24.9,59.5,13.8,1.8,74.6,24.5,0.1,0.4,1.1,59.8,1289,1095,73.4,1080.5,7.8,24.9,35.1,30.7,17.3,29.2,7.8,20,2858,3188,653,24.9,3754,765,494
